Stage,Run_ID,Horizon_Step,CRPS,CRPS_var,CRPS_std,PICP,PICP_var,PICP_std,MPIW,MPIW_var,MPIW_std,RMSE(vs Obs),RMSE(vs Obs)_var,RMSE(vs Obs)_std,RMSE(vs TrueMean),RMSE(vs TrueMean)_var,RMSE(vs TrueMean)_std,Aleatoric_Std_MAE,Aleatoric_Std_MAE_var,Aleatoric_Std_MAE_std,Aleatoric_Std_Corr,Aleatoric_Std_Corr_var,Aleatoric_Std_Corr_std,Experiment_Stage,Noise_Condition
1,nll,t+1,0.4745125157889968,3.7917653715228926e-06,0.001947245585827,0.950945,2.447024999999995e-05,0.0049467413516374,3.373407397293925,0.0084855615620013,0.0921171078681984,0.8499100344351614,6.2228940103667935e-06,0.0024945729114152,0.1002697867143312,0.0004215248222694,0.0205310696815696,0.0426440313249711,0.0002752305816767,0.016590074794189,0.98634203890271,4.23586503061845e-05,0.0065083523495723,Stage1,Gaussian_Clean_fixed_params
1,two_stage_nll,t+1,0.4746891268817256,4.370018305275053e-06,0.0020904588743323,0.952745,1.7005250000000018e-05,0.0041237422324873,3.401687450433171,0.0075179741108158,0.0867062518554216,0.8497560704889375,7.585525737963434e-06,0.0027541833159692,0.0945869032806488,0.0007360325625057,0.027129920060806,0.0471045642572734,0.0002564822454127,0.0160150630786382,0.9841821005083384,5.8034472872815686e-05,0.0076180360246467,Stage1,Gaussian_Clean_fixed_params
1,two_stage_crps,t+1,0.4766483593716176,5.776795984354151e-06,0.002403496616256,0.954535,1.907613888888904e-05,0.0043676239408732,3.480093940255231,0.0104105345851426,0.1020320272519498,0.8501656280029813,6.390088017452908e-06,0.002527862341476,0.1025145253326593,0.0005183022218189,0.0227662518175249,0.0688862903722381,0.0004379814179943,0.0209280055904612,0.9133537708976333,0.0035747818100976,0.059789479092041,Stage1,Gaussian_Clean_fixed_params
1,beta_nll_0.25,t+1,0.4748647063811732,3.1190913675890945e-06,0.0017660949486335,0.95246,2.5270444444444345e-05,0.0050269716971994,3.4077842626894084,0.0090830888055662,0.0953052401789444,0.8498598735476826,4.804307309612152e-06,0.0021918730140252,0.0982363107533222,0.0003795543028153,0.0194821534439943,0.0489933146666253,0.0002881778508255,0.0169758019199552,0.9829914769097527,0.0001024171031929,0.0101201335560821,Stage1,Gaussian_Clean_fixed_params
1,beta_nll_0.5,t+1,0.4757849737998629,3.6076849520486136e-06,0.0018993906791517,0.956145,1.4121361111111146e-05,0.0037578399528334,3.4780755487713884,0.0066178561049106,0.0813502065449787,0.8501624167485652,4.878021660087417e-06,0.0022086243818466,0.1009251045280712,0.0003823612843988,0.0195540605603757,0.0603378047426231,0.0002949622793641,0.0171744659120507,0.9793996567909568,0.0001182772510179,0.0108755345164233,Stage1,Gaussian_Clean_fixed_params
1,beta_nll_0.75,t+1,0.476169166117155,2.3565847696983945e-06,0.0015351171843538,0.9557,1.6908333333333356e-05,0.0041119743838372,3.4741154682904325,0.0075769613203603,0.0870457426894637,0.8505304067944073,2.498732634415906e-06,0.0015807380030909,0.1039994144212754,0.0002170804682028,0.0147336508782738,0.0577899716774075,0.0003133033802315,0.0177003779686059,0.977133334896102,0.0001441899194012,0.0120079107009207,Stage1,Gaussian_Clean_fixed_params
1,beta_nll_1.0,t+1,0.4765833278996881,2.0288043944240023e-06,0.0014243610477768,0.955835,1.642780555555558e-05,0.0040531229386185,3.482233885352138,0.0076649176072002,0.0875495151739874,0.850855787075677,2.1285843346431377e-06,0.0014589668723597,0.1060928152584772,0.0002035747660853,0.0142679629269699,0.0585761488424061,0.0002922264483359,0.0170946321497694,0.9744984077725172,0.0001528769059878,0.0123643400951237,Stage1,Gaussian_Clean_fixed_params
1,hybrid_lam_0.25,t+1,0.4768336247366306,3.141488342829866e-06,0.0017724244251391,0.954845,1.456858333333332e-05,0.0038168813622292,3.4882529771981643,0.0087339989686959,0.0934558664220495,0.8503107192000442,2.86908337304198e-06,0.0016938368791126,0.1018925407024615,0.0002734822791165,0.016537299631939,0.0766149087330275,0.0003490390631421,0.018682587164046,0.8785072763296482,0.0055993325497369,0.0748286880129337,Stage1,Gaussian_Clean_fixed_params
1,hybrid_lam_0.5,t+1,0.4764660942187437,3.645879674998925e-06,0.0019094186746229,0.95365,1.8669999999999925e-05,0.0043208795400936,3.4535315238075106,0.0103197709678105,0.1015862735206411,0.8507979006340264,2.359440110811969e-06,0.0015360469103552,0.1054202332859752,0.0002384887536449,0.0154430810929983,0.0636457001495026,0.0003878748795487,0.0196945393332452,0.927057052261924,0.0025811526763294,0.0508050457762756,Stage1,Gaussian_Clean_fixed_params
1,hybrid_lam_0.75,t+1,0.4762948652030624,3.858415692597832e-06,0.0019642850334403,0.953575,2.0814027777777773e-05,0.0045622393380639,3.4518797303009245,0.0094862844475258,0.0973975587349385,0.8508277556456088,3.6211306178213568e-06,0.0019029268556151,0.1048835938795267,0.0003580161634902,0.0189213150571065,0.0606844788760702,0.0003182343996675,0.0178391255297872,0.9461540543807502,0.0012397255715832,0.0352097368860268,Stage1,Gaussian_Clean_fixed_params
